dataset, model, explainer, RC, FA, RA, SA, SRA, PGU, PGI, RIS, ROS
compas,ann,ig,,,,,,0.037730966,0.12532765,93.86137315843888,629.7589851106148
compas,ann,ig,,,,,,0.6436283,0.7841075,63555.38931567564,2651535.5680490616
compas,ann,ig,,,,,,0.3844012,0.53041285,39.119977447775305,1922.3395268119905
compas,ann,ig,,,,,,0.06480287,0.133946,552.2570293393558,24037.22383687245
compas,ann,ig,,,,,,0.625643,0.5904801,221.86786341872389,7233.122282719419
compas,ann,ig,,,,,,0.030378524,0.12180234,20.400804718957566,666.0247995567344
compas,ann,ig,,,,,,0.2122216,0.09696699,37.53938081400666,967.6511066005929
compas,ann,ig,,,,,,0.006927299,0.034854587,67.26693353069125,518.2782054831105
compas,ann,ig,,,,,,0.0076116887,0.02308045,67.77728366823263,954.7352681345337
compas,ann,ig,,,,,,0.36260504,0.7101553,928851.6300257482,84278.41292740678
compas,ann,ig,,,,,,0.52111995,0.37004974,1455.9625409756811,88165.65510171368
compas,ann,ig,,,,,,0.07654681,0.27957755,515.7387819371473,839.8789002509994
compas,ann,ig,,,,,,0.012662256,0.060177345,13.37306365516875,625.2121603793531
compas,ann,ig,,,,,,0.39085683,0.5751406,572253.3471872318,537369.6393963272
compas,ann,ig,,,,,,0.8702969,0.26599646,697.3781838109894,1952.5615013446968
compas,ann,ig,,,,,,0.76135147,0.6720608,844.6204324828428,4027.968250647697
compas,ann,ig,,,,,,0.5324464,0.48332638,193.58328023545644,57451.53896110346
compas,ann,ig,,,,,,0.13561036,0.15811087,20.75234153392176,820.6514352968564
compas,ann,ig,,,,,,0.110004164,0.20577474,296.35272201408804,948.5595159968146
compas,ann,ig,,,,,,0.62888616,0.69537824,371.4455493369355,9268.227462542653
compas,ann,ig,,,,,,0.72994125,0.5892722,334.88483535906073,2447.9546700472615
compas,ann,ig,,,,,,0.77412933,0.63382167,273.5724838536398,2350.7861993200077
compas,ann,ig,,,,,,0.6883951,0.69361544,325.38110059464947,7907.79960592863
compas,ann,ig,,,,,,0.7589718,0.7188158,314.66894572680076,50973.43525186706
compas,ann,ig,,,,,,0.79055446,0.65174586,360.96018754414797,2319.4318155859432
compas,ann,ig,,,,,,0.7006287,0.5812574,305.2786439943414,5238.739807785424
compas,ann,ig,,,,,,0.5398421,0.61482173,237.98804721881325,22837.580928180716
compas,ann,ig,,,,,,0.58011144,0.694459,232.76606976778888,4427.388866751044
compas,ann,ig,,,,,,0.80437416,0.6082101,368.2715893547358,2460.9508262205263
compas,ann,ig,,,,,,0.117565386,0.061636157,102.41925578669701,886.6121659539085
compas,ann,ig,,,,,,0.038975455,0.15885761,113.21074521073243,860.7380959922621
compas,ann,ig,,,,,,0.15450889,0.23622032,108.99418984509556,894.8428888319215
compas,ann,ig,,,,,,0.08273118,0.18961604,100.26101135410512,829.8805966374453
compas,ann,ig,,,,,,0.09498784,0.09901633,111.89391526990754,996.6988218754751
compas,ann,ig,,,,,,0.14384125,0.1305394,82.15444529480881,15909.742889594147
compas,ann,ig,,,,,,0.044454582,0.16477467,102.20491657975312,3466.464899593326
compas,ann,ig,,,,,,0.050043248,0.20973371,105.24640510000081,1086.1800393100184
compas,ann,ig,,,,,,0.037721448,0.18316881,92.94772065002876,1797.3056213518491
compas,ann,ig,,,,,,0.14663263,0.04290259,111.96634162765697,1012.5717180018163
compas,ann,ig,,,,,,0.044748195,0.062053867,178.14833847946372,947.6314235833783
compas,ann,ig,,,,,,0.05033464,0.06698728,153.75423008590963,1502.7539628742647
